"project_id","item_key","text","cluster"
"Xerces-J",34966,"Document root element ""COUNTRYINFO"", must match DOCTYPE root ""null"". ",1
"JMeter",58757,"Fix deprecated methods of HTTPCLIENT after migration to httpclient-4.5.2",1
"Apache httpd-2",56918,"error: 'ap_copy_scoreboard_worker' undeclared here",1
"Apache httpd-2",53581,"FollowSymlinks doesn't work with DirectoryMatch and Alias",1
"Ant",51069,"Unable to rename old file to temporary file JAR TASK",1
"POI",58785,"XSLFSlide.importContent does not keep names of shapes inside an XSLFGroupShape",1
"Log4j - Now in Jira",50238,"wrong log levels logged with the serialized LoggingEvent",1
"Lenya",42496,"concurrence of editors causes failing of document creation.",1
"Batik - Now in Jira",40091,"""JDK URL is corrupt or unsupported variant"" exception",1
"POI",57669,"RuntimeException: Unexpected record type (org.apache.poi.hssf.record.FeatHdrRecord)",1
"Apache httpd-2",49133,"Windows service recovery options do not work for Apache service",1
"POI",57062,"poi cannot read date is when first column is empty and second column in date",1
"Apache httpd-2",50712,"Restart button only stops the server ...and do not start it",1
"POI",50787,"XSSFColor.getRgbWithTint() returns incorrect color for theme colors from 3-4 columns (brown and blue tints)",1
"Batik - Now in Jira",40131,"SVG to PDF transcoder offsets polylines and polygons in Adobe Reader",1
"Apache httpd-2",53539,"content type and character set are changing when the content served from disk_cache becomes 'stale'",1
"Slide",33498,"WebdavResource's moveMethod returns true even when it fails",1
"Lenya",44067,"UrlToUuidRewriter doesn't always have newest sitetree information",1
"POI",53009,"Problem creating header and footer",1
"JMeter",59632,"HTML format the ""Failed to Parse HTML : NULL"" error message is displayed.",1
"Apache httpd-2",57853,"mod_proxy_http sends request with header 'Expect: 100-continue' and not-empty body.",1
"Batik - Now in Jira",52985,"ttf2svg fails to reproduce ""e"" and ""o"" correctly in Delius-Regular.ttf",1
"APR",55912,"Pipe creation may fail on Windows in apr_file_pipe_create_ex",1
"Apache httpd-2",39111,"Potential bug brought by mmapfile (mod_file_cache)",1
"Ant",36347,"antRun doesnt work properly on Solaris, so exec with vmlauncher=false is broken",1
"Apache httpd-2",57680,"SSLSessionCacheTimeout has no effect",1
"Ant",43794,"Message about JAVA_HOME is confusing",1
"Lenya",49047,"Error executing the new publication based on documentation",1
